id	username	date	time	status
138954554334130176	nicholasjones1	22/11/2011	8:18 PM	#Qantasluxury flying overseas and NOT having to go through Sydney.
138954511074066433	dadegroot	22/11/2011	8:18 PM	RT @carolduncan: It had to happen. #QantasLuxury - Downfall: http://t.co/WfohJM8W
138954486860365824	conceravota	22/11/2011	8:18 PM	And Abbott is an oxygen stealing moron RT @itwittagain: #qantasluxury is an oxymoron.
138954480937992192	replynotifier	22/11/2011	8:18 PM	Just asking for it – the #QantasLuxury disaster: The thing about twitter is, it’s populated by members of that b... http://t.co/RtX2WIfY
138954391368634368	bigjsl	22/11/2011	8:18 PM	RT @ndrew10: RT @kiwi_kali: #qantasluxury Somewhere in Qantas HQ a middle aged manager is yelling at a Gen Y social media "expert" to make it stop. / LOL
138954361060601856	JoeyRaccoon	22/11/2011	8:17 PM	is the actual #qantasluxury comp still running? i'd quite like some new pj's... i'd like in-flight free wi-fi, bean bags and a ball pit :)
138954274217525249	matthew_sim	22/11/2011	8:17 PM	“RT @kiwi_kali: #QantasLuxury Somewhere in Qantas HQ a middle aged manager is yelling at a Gen Y social media "expert" to make it stop." HAH
138954274997669888	AndrewGarde	22/11/2011	8:17 PM	#QantasLuxury  Here is the qantas strategy http://t.co/jHAieRAh
138954214289309696	rupertguenther	22/11/2011	8:17 PM	#QantasLuxury Is that a rare violin sir? Sorry you can't bring that on board with you
138954195087802368	chigstir	22/11/2011	8:17 PM	Bahahahaha. #QantasLuxury screwed up. Excellent start to repair yourselves. #Epicfail.
138954184912408576	OvenhouseLorne	22/11/2011	8:17 PM	RT @ChefsArmoury: #qantasluxury is when they ground your flight and you experience the awesome service of Cathay Pacific
138954152054235136	LifeInAustralia	22/11/2011	8:17 PM	Probably not that PC to compare Joyce with Hitler...#qantasluxury  http://t.co/IvgM8fqY
138954126364119040	birwin	22/11/2011	8:17 PM	Enjoying reading about the #QantasLuxury debacle!
138954074925174784	seonumber1	22/11/2011	8:16 PM	#QantasLuxury takes off for Qantas in the worst possible way: Australian Values reports | http://t.co/cZzrbJO2
138954070311444480	annabrandsma	22/11/2011	8:16 PM	RT @leighlj82: Looks like @annabrandsma and my bags aren't here. Hows about that #QantasLuxury hey!?!!
138954071162896385	mdjustfly	22/11/2011	8:16 PM	Wew RT @TWA767: #qantasluxury ??? Hmm...
138954057812414465	violetmumble	22/11/2011	8:16 PM	@alexwain @qantasairways wow could PJs be any grayer?#QantasLuxury a prizepack made of natural fibres by an Australian company in Australia
138953997598994432	Tangerine_PR	22/11/2011	8:16 PM	Timing is everything. And Qantas got their timing wrong. Badly wrong. http://t.co/H1lqKao4 #QantasLuxury #socialmediafail
138953960626200576	mattcal	22/11/2011	8:16 PM	RT @QantasPR: OK, seriously...is there some way to turn Twitter off for a day or two? #qantasluxury
138953940279640064	FHavg	22/11/2011	8:16 PM	RT @flyingwithfish: How #QantasLuxury turned from a feel-good-contest to #epicfail – #socialmedia crisis case study http://t.co/zuQm3XS8 via @simplyflying #SM
138953905601130496	TWA767	22/11/2011	8:16 PM	#qantasluxury ??? Hmm...
138953833110962176	krystle_kocik	22/11/2011	8:15 PM	#QantasLuxury Over 180 flights in 2 years with @QantasAirways... I think I  have the experience to say you are still the best Aussie airline
138953822482612224	saoghalbeag	22/11/2011	8:15 PM	RT @macleanbrendan: Matthew Newton and #ACA cop national backlash. Awful ratings for Kyle and Jackie O. Lame PR of #QantasLuxury lampooned. I love Australia.
